,Spray Angle (Mie),Spray Angle (Shadow),Spray Length (Mie),Spray Length (Shadow),Mean,Std
Time (µs),0.2335,0.9707,0.2315,0.9781,0.6034,0.3710
Chamber Temperature (K),0.7233,0.0016,0.5376,0.0024,0.3162,0.3210
Density (kg/m³),0.0229,0.0008,0.0957,0.0002,0.0299,0.0391
Viscosity (Pa·s),0.0140,0.0008,0.0973,0.0001,0.0280,0.0403
Injection Pressure (bar),0.0059,0.0207,0.0134,0.0131,0.0133,0.0053
Chamber Pressure (bar),0.0004,0.0054,0.0247,0.0060,0.0091,0.0092
