model,overall_r2,overall_mae,overall_mse,overall_rmse,overall_nmae_range,overall_nrmse_range,overall_nmae_std,overall_nrmse_std
KNN,0.9987931885032422,0.7405878480235586,2.198587793779655,1.0658232740703253,0.006182902884272264,0.009081366150058973,0.024022538106979727,0.035214863699086205
GradientBoosting,0.9948569121926216,0.4812151501084265,0.7828124106935661,0.6823997766893564,0.009052590229195358,0.016139471302029633,0.03419296032943717,0.05987241836412161
DecisionTree,0.9936313255646252,1.1068067989371921,4.15507804427094,1.4965081772974391,0.01105838020325896,0.020327681301663406,0.042619811197222544,0.07667795284864685
SVR,0.9883170231020394,1.2921335074022533,17.127822316375383,2.986750312767356,0.015955813924229196,0.028019027269188108,0.06121663764390266,0.108611596513722
RandomForest,0.9829888444561335,2.207116704715677,20.73002635079944,3.3014404137749,0.02304341388454474,0.034569998191686276,0.08844410323753157,0.13248001318665015
LinearRegression,0.834075122195276,4.779483339758446,78.29150867648946,6.564127034051075,0.07690250937634575,0.10101095441343272,0.2885192223071148,0.37948066710383993
