case_id,time_ms,chamber_pressure_bar,chamber_temperature_K,injection_pressure_bar,density_kg_m3,viscosity_Pa_s,injection_temperature_K,angle_shadow_deg,angle_shadow_smoothed_deg,angle_mie_deg,angle_mie_smoothed_deg,penetration_shadow_mm,penetration_shadow_ld,penetration_mie_mm,penetration_mie_ld
ETH-02,2.325,75.01215,191.88283437500002,116.43706249999995,812.2111031529723,0.0018983113381425764,273.0,18.74133064516129,18.946725770035492,16.06774193548387,15.944737231182796,34.9920033125,164.2817056924883,35.015358562500005,164.39135475352114
ETH-02,2.35,75.0098,191.86207499999995,116.62753124999998,812.2109294250415,0.0018983090439096423,273.0,19.332258064516125,18.952008028100003,16.25806451612903,15.974383064516129,35.12337659375,164.89848166079813,35.184684125000004,165.1863104460094
ETH-02,2.375,75.0054,191.82785625000002,117.18881249999998,812.2106041462138,0.0018983047483180613,273.0,18.53666666666666,18.951164278100002,15.854623655913977,16.00204435483871,35.278105125,165.62490669014088,35.39196196875,166.15944586267608
ETH-02,2.4,74.99985000000001,191.855003125,116.64659375,812.2101938494491,0.00189829933000266,273.0,18.573588709677416,18.930544318422584,16.196774193548386,16.02438810483871,35.464947125,166.50209917840377,35.567126343750004,166.98181382042256
ETH-02,2.425,75.00665,191.84793125,116.13284374999996,812.2106965551081,0.0018983059686574928,273.0,18.857142857142854,18.919294318422583,16.220860215053758,16.058266129032255,35.72477428125,167.72194498239438,35.73061309375,167.7493572476526
ETH-02,2.45,75.01205,191.85477500000002,115.16746874999997,812.2110957603026,0.0018983112405157037,273.0,18.52083333333333,18.917861128767413,16.22827956989247,16.090945367538005,35.83750103225807,168.2511785552022,35.911616281250005,168.5991374706573
ETH-02,2.475,75.00985000000001,191.82694375,114.59174999999998,812.2109331213862,0.001898309092723165,273.0,19.021875,18.926273427154506,16.184516129032257,16.134994762699296,36.003247967741935,169.029333181887,36.0897000625,169.43521156103287
ETH-02,2.5,75.01155,191.82740000000004,114.27784375000002,812.2110587969377,0.0018983107523811752,273.0,18.535483870967738,18.91593572554161,16.5875,16.15915528497272,36.18707638709678,169.89237740421024,36.2181539375,170.03828139671361
ETH-02,2.525,75.01354999999998,191.80253437499996,114.73924999999998,812.2112066502814,0.0018983127049184343,273.0,18.665402298850577,18.888478736294296,16.3875,16.18050474733831,36.3799455483871,170.79786642435258,36.375801875,170.77841255868546
ETH-02,2.55,75.02570000000003,191.82352187499998,115.55256249999994,812.2121048534909,0.0018983245665436985,273.0,18.935483870967737,18.86656240564913,16.68125,16.206377443190846,36.621032,171.92972769953053,36.518852781250004,171.45001305751177
ETH-02,2.575,75.01659999999998,191.86914687499998,116.00918749999995,812.2114321261037,0.0018983156825342572,273.0,18.699999999999996,18.849969663713647,16.236666666666665,16.224976998252025,36.783765354838714,172.69373406027566,36.714453,172.36832394366198
ETH-02,2.6,75.01140000000001,191.876446875,116.64653124999997,812.2110477079285,0.001898310605940844,273.0,18.811249999999998,18.86213265731765,16.15010080645161,16.219331836961704,36.997729580645164,173.69826094199607,36.8721009375,173.10845510563382
ETH-02,2.625,75.0136,191.84063124999994,116.53240625000004,812.2112103466109,0.001898312753731831,273.0,18.954838709677418,18.849713302478943,16.046875,16.20212921599396,37.238816032258065,174.83012221717402,37.032668281250004,173.86229240023476
ETH-02,2.65,75.00690000000003,191.86869062499994,116.45146874999998,812.2107150368703,0.001898306212725246,273.0,18.971875,18.867844686887544,16.061935483870965,16.224908449864927,37.37442716129032,175.4667941844616,37.204913250000004,174.67095422535215
ETH-02,2.675,75.0115,191.83378750000003,116.05668749999994,812.2110551006052,0.0018983107035677857,273.0,19.324999999999996,18.902759001403677,16.350459770114938,16.236475990187508,37.39019823333334,175.54083677621284,37.339205937500004,175.3014363262911
ETH-02,2.7,75.01215,191.87576249999998,116.04721874999997,812.2111031529723,0.0018983113381425764,273.0,19.08760080645161,18.90174157628847,16.369999999999997,16.227232548400337,37.62756793548387,176.65524852339846,37.51728971875,176.13751041666666
ETH-02,2.725,75.02115,191.862075,115.69999999999995,812.2117684905028,0.001898320124543632,273.0,18.926209677419358,18.951284587041158,16.16428571428571,16.221723742319504,37.76920622580646,177.32021702256552,37.65742121875,176.79540478286387
