run,Time_ms,Pc_bar,Tc_K,Pinj_bar,rho_kgm3,mu_Pas,angle_shadow_deg,len_shadow_L_D,angle_mie_deg,len_mie_L_D
ETH-01,0.0,55.0318,192.02951875000002,98.86454999999997,810.7202282342074,0.0018787143649796726,16.694545119577302,13.126559020791415,12.937324980798767,17.571262030516433
ETH-01,0.025,55.0057,192.01583125000002,98.87406249999997,810.7182623680159,0.0018786886447426008,16.694545119577302,13.126559020791415,12.937324980798767,17.571262030516433
ETH-01,0.05,55.00809999999999,191.98822812499998,98.90735624999998,810.7184431393529,0.001878691009835264,16.694545119577302,13.126559020791415,12.937324980798767,17.571262030516433
ETH-01,0.07500000000000001,55.01635,192.08198750000005,98.85503749999995,810.7190645376966,0.0018786991398207654,16.694545119577302,13.126559020791415,12.937324980798767,17.571262030516433
ETH-01,0.1,55.01250000000001,191.98800000000008,98.87881874999998,810.7187745524075,0.001878695345831513,16.694545119577302,20.204666979655716,12.937324980798767,24.506565140845073
ETH-01,0.125,55.00955,192.030659375,98.81222937499999,810.7185523551732,0.0018786924387441462,16.694545119577302,26.209906588959043,12.937324980798767,30.432920036347117
ETH-01,0.15000000000000002,54.99895,191.98800000000003,98.87881874999997,810.7177539464101,0.0018786819929047555,16.694545119577302,31.321821434353247,12.937324980798767,36.26642693661972
ETH-01,0.17500000000000002,54.99654999999999,192.00237187500002,98.91211249999998,810.7175731734951,0.0018786796278016263,16.694545119577302,36.544970922308046,12.937324980798767,41.89301544752386
ETH-01,0.2,55.0072,192.02632500000004,98.88833124999996,810.7183753501506,0.0018786901229258428,16.694545119577302,42.21842556413752,12.937324980798767,47.49370757880617
ETH-01,0.225,55.005700000000004,191.98845625,98.96443124999996,810.7182623680159,0.0018786886447426008,16.694454507533617,47.01468771770408,12.962909073453424,52.60413703051643
ETH-01,0.25,55.000400000000006,192.06784375,98.97394374999995,810.7178631631773,0.0018786834218198713,16.664968715239148,51.45282188967137,12.977844742063487,56.44185416666667
ETH-01,0.275,55.018049999999995,192.00944375000003,98.87406249999998,810.7191925828101,0.0018787008150864992,16.724898230940354,55.57438861123732,12.982278521209967,60.512575557511745
ETH-01,0.30000000000000004,55.016349999999996,192.01286562500002,98.807475,810.7190645376966,0.0018786991398207654,16.766200143016043,58.52518632629108,12.99690839642308,63.74265414710486
ETH-01,0.325,55.02099999999999,192.012865625,98.87881874999997,810.7194147782509,0.001878703722162024,16.80512013348164,61.49941710680751,13.002920954941112,66.1046776701878
ETH-01,0.35000000000000003,55.0194,191.99963437500006,98.87881874999997,810.719294265545,0.0018787021454435818,16.820727544493877,64.43252948943662,13.012894645257292,68.70884286971831
ETH-01,0.375,55.00795000000002,191.97408437500005,98.92638124999998,810.7184318411599,0.0018786908620171004,16.831640630111885,67.63976452464789,13.015741449805725,71.23077127347418
ETH-01,0.4,55.00645000000001,192.047540625,98.85503593749998,810.7183188591002,0.0018786893838343114,16.841341150661226,70.43581558098592,13.001372301160604,73.87605487089202
ETH-01,0.42500000000000004,55.01404999999999,192.065334375,98.85503749999997,810.7188912998593,0.0018786968732825678,16.855119247994846,72.99886238262911,12.972079801879246,76.09644835680751
ETH-01,0.45,55.00635000000001,192.023359375,98.84076874999997,810.718311326957,0.0018786892852887523,16.875266511401556,75.3837294600939,12.945194561785282,78.42649090375588
ETH-01,0.47500000000000003,54.996550000000006,191.978190625,98.92638124999998,810.7175731734951,0.0018786796278016263,17.005568953930286,77.9467762617371,12.939889262246115,80.60576599178404
ETH-01,0.5,54.99650000000001,191.95743125,98.90259999999996,810.7175694073882,0.0018786795785286168,17.07927863134964,80.07122681924884,12.942308617084825,82.89469014084507
ETH-01,0.525,54.99565000000001,191.97499687500002,98.87881874999997,810.7175053835456,0.0018786787408872562,17.121889518446416,81.99008538732394,12.934365068697726,84.06428012519562
ETH-01,0.55,55.00870000000001,191.99210625,98.86454999999997,810.7184883321255,0.001878691601108041,17.162605580274374,83.90894395539907,12.93984893966547,86.92429313380282
ETH-01,0.5750000000000001,55.01185000000001,192.01240937500006,98.86930437499998,810.7187255937511,0.0018786947052872236,17.22495732526881,85.59479826877936,12.94094772998805,88.9528007629108
ETH-01,0.6000000000000001,55.00340000000001,192.0162875000001,98.89308593749998,810.7180891284249,0.0018786863781928283,17.30924159946236,87.49995070422536,12.934521318697728,90.94018999413146
ETH-01,0.625,55.0072,192.00761874999998,98.97869999999998,810.7183753501506,0.0018786901229258428,17.291836693548383,89.50104606807513,12.972167152031062,93.10575894953053
ETH-01,0.65,55.02400000000001,191.99256250000008,98.96918749999998,810.7196407390762,0.0018787066785057938,17.356211693548385,91.21431264671362,12.99871453106332,95.24391563967137
ETH-01,0.675,55.02475,192.00442500000008,98.93589374999996,810.7196972291792,0.001878707417591031,17.36810984169653,93.10575894953053,13.017509893966544,96.39718879946346
ETH-01,0.7000000000000001,55.020950000000006,191.983665625,99.00723749999997,810.7194110122309,0.001878703672889588,17.407741898148146,95.16167884389672,13.014072393966547,99.27351863262912
ETH-01,0.7250000000000001,55.010250000000006,192.02313125000003,99.12138749999997,810.7186050799945,0.0018786931285618258,17.442258027180404,97.42319072769953,13.007041143966546,101.30202626173708
ETH-01,0.75,55.01955,192.075371875,99.19273125,810.7193055636164,0.0018787022932609564,17.499076239545996,99.17934423746783,13.011965539127834,103.07011737089202
ETH-01,0.775,55.001149999999996,192.032940625,99.318771875,810.7179196545462,0.001878684160913466,17.509998618578255,101.1101404049296,13.012674104200139,105.31792312206574
